114202,0.9320,-0.0601,-0.3429,-0.1010,0.6650,-0.0415,0.7617,0.6094,-0.3855,-0.5962,-0.3529,1.0327,-0.0444,-0.0132
114302,0.9320,-0.0600,-0.3429,-0.1010,0.6611,-0.0391,0.7720,0.6094,-0.3855,-0.5962,-0.3530,1.0332,-0.0527,-0.0132
114402,0.9320,-0.0600,-0.3429,-0.1010,0.6587,-0.0347,0.7646,0.6094,-0.3855,-0.5962,-0.3530,1.0308,-0.0513,-0.0068,,114502,0.9320,-0.0599,-0.3428,-0.1010,0.6670,-0.0479,0.7676,0.6095,-0.3855,-0.5961,-0.3530,1.0308,-0.0552,-0.0107
114602,0.9320,-0.0599,-0.3428,-0.1010,0.6655,-0.0479,0.7778,0.6095,-0.3854,-0.5961,-0.3530,1.0303,-0.0449,-0.0171
114701,0.9320,-0.0600,-0.3428,-0.1010,0.6631,-0.0479,0.7710,0.6094,-0.3854,-0.5962,-0.3530,1.0347,-0.0366,-0.0029
114802,0.9321,-0.0599,-0.3427,-0.1010,0.6631,-0.0400,0.7744,0.6094,-0.3854,-0.5962,-0.3531,1.0269,-0.0479,-0.0083
114902,0.9321,-0.0599,-0.3427,-0.1010,0.6504,-0.0435,0.7646,0.6094,-0.3853,-0.5962,-0.3531,1.0386,-0.0513,-0.0020
115002,0.9321,-0.0599,-0.3427,-0.1010,0.6592,-0.0366,0.7783,0.6094,-0.3853,-0.5962,-0.3531,1.0312,-0.0571,0.0010
115103,0.9321,-0.0599,-0.3427,-0.1010,0.6694,-0.0459,0.7681,0.6093,-0.3853,-0.5963,-0.3532,1.0225,-0.0498,-0.0024
115201,0.9321,-0.0600,-0.3428,-0.1009,0.6631,-0.0391,0.7622,0.6093,-0.3853,-0.5963,-0.3531,1.0293,-0.0454,0.0020
115301,0.9320,-0.0599,-0.3428,-0.1009,0.6650,-0.0469,0.7720,0.6093,-0.3853,-0.5963,-0.3532,1.0186,-0.0547,-0.0024
115402,0.9320,-0.0599,-0.3428,-0.1009,0.6646,-0.0459,0.7705,0.6094,-0.3852,-0.5962,-0.3532,1.0225,-0.0400,-0.0039
115501,0.9321,-0.0599,-0.3427,-0.1009,0.6592,-0.0493,0.7744,0.6094,-0.3853,-0.5962,-0.3532,1.0356,-0.0537,-0.0088
